scenario,trial,request_index,prompt_tokens,cached_prompt_tokens,uncached_prompt_tokens,output_tokens,ttft_s,prefill_s,generation_s,api_total_s,wall_latency_s,prompt_tokens_per_s,generation_tokens_per_s,gpu_memory_mib,load_s,done_reason
different_prefix,1,1,2835,2,2833,80,4.137483200000133,3.959984,4.961586,9.090585,9.103367300000173,715.4069309370947,16.12387651851646,4619,0.0128381,length
different_prefix,1,2,2835,21,2814,80,4.047019799999816,3.886687,4.908321,8.9546724,8.955941400000029,724.0099344248714,16.298852499663326,4619,0.009746,length
different_prefix,1,3,2838,21,2817,80,4.108049899999969,3.912624,5.298909,9.4050099,9.406813000000056,719.9771815538626,15.097447417949619,4628,0.0288333,length
different_prefix,1,4,2846,21,2825,80,3.7524023000000852,3.569791,5.832513,9.5822799,9.58472269999993,791.362855696594,13.716214605951158,4631,0.0139099,length
different_prefix,1,5,2844,21,2823,80,4.2871242000001075,4.021716,5.747832,10.0336867,10.036125800000264,701.939172233942,13.918291279216234,4629,0.0661389,length
shared_prefix,1,1,2816,2784,32,63,0.4534664999996494,0.409468,4.932592,5.3882441,5.390359199999693,78.150185118251,12.77218955064599,4631,0.0118509,stop
shared_prefix,1,2,2816,2786,30,64,0.8523227000000588,0.751428,4.617825,5.4496033,5.471509200000128,39.92398473306824,13.859338541412894,4629,0.051624,stop
shared_prefix,1,3,2816,2786,30,60,0.8438234000000193,0.808307,4.036321,4.879208,4.880034599999817,37.114611156404685,14.86502188502847,4628,0.0095708,stop
shared_prefix,1,4,2816,2786,30,63,0.8818037000000913,0.751338,4.150935999,5.0312158,5.033188399999744,39.92876707953012,15.177299774117767,4627,0.0834389,stop
shared_prefix,1,5,2816,2786,30,80,0.7957206000000951,0.730094,5.246451,6.0215026,6.0414544000000205,41.09059929269382,15.24840315863047,4623,0.0201914,length
shared_prefix,2,1,2816,2784,32,63,0.4604479999998148,0.417849,4.178487,4.6261677,4.638300199999776,76.58268896180199,15.077227714242023,4616,0.0089909,stop
shared_prefix,2,2,2816,2786,30,64,0.7734018000001015,0.741443,4.209314999,4.9812851,4.982668999999987,40.46164034187389,15.20437411198838,4613,0.0100586,stop
shared_prefix,2,3,2816,2786,30,60,0.7613365999995949,0.730053,3.936044,4.6975337,4.699142199999642,41.09290695333079,15.243732031450868,4605,0.0100599,stop
shared_prefix,2,4,2816,2786,30,63,0.8718610000000808,0.760712,4.235696,5.1064124,5.107944399999724,39.4367382136735,14.8735886616981,4602,0.0818709,stop
shared_prefix,2,5,2816,2786,30,80,0.7750049000001127,0.735031,5.258997,6.0323856,6.034091099999841,40.814605098288375,15.212026171530427,4602,0.0139505,length
different_prefix,2,1,2843,2,2841,80,4.5027672999999595,4.336578,5.336109,9.836815,9.83873820000008,655.1248472874233,14.992197498214521,4602,0.0087448,length
different_prefix,2,2,2815,21,2794,80,4.52141359999996,4.243575,6.066272,10.5864625,10.588058799999999,658.407121354047,13.187671110032653,4642,0.0218521,length
different_prefix,2,3,2837,21,2816,80,4.118215099999816,3.943264,5.342296,9.459112,9.460955199999717,714.1292086961461,14.974834790135178,4638,0.0095278,length
different_prefix,2,4,2826,21,2805,80,4.10221649999994,3.938208,5.297889,9.3987132,9.400059699999929,712.2528825293128,15.100354122179608,4637,0.0080813,length
different_prefix,2,5,2840,21,2819,80,4.158394999999928,3.985031,5.065475,9.22236,9.223601500000314,707.3972573864544,15.793188200514265,4637,0.0142767,length
different_prefix,3,1,2818,17,2801,80,2.5301159000000553,2.423186,4.64961,7.1786479,7.180030500000157,1155.916219390505,17.205744137680366,4625,0.008171,length
different_prefix,3,2,2828,21,2807,80,2.508957200000168,2.401459,4.400527,6.9082914,6.909762000000228,1168.8727561036853,18.179640756663918,4624,0.0074135,length
different_prefix,3,3,2823,21,2802,80,2.50714330000028,2.395929,4.39156,6.8981084,6.8990804000000026,1169.4837367885275,18.21676124201878,4620,0.0075518,length
different_prefix,3,4,2826,21,2805,80,2.5534428999999363,2.408014,4.390803,6.9148101,6.944522499999948,1164.8603371907307,18.219901917713003,4611,0.0206713,length
different_prefix,3,5,2833,21,2812,80,2.5323143999999047,2.408424,4.396659,6.9052437,6.929186200000004,1167.5685012273586,18.195634457891778,4608,0.0073774,length
shared_prefix,3,1,2816,2784,32,63,0.22458140000026106,0.2006,3.449308,3.6728681,3.674399800000174,159.52143569292124,18.264533059964492,4608,0.0074642,stop
shared_prefix,3,2,2816,2786,30,64,0.4564847000001464,0.434914,3.508905,3.964726,3.965651500000149,68.97915449951024,18.2393082742337,4599,0.0065779,stop
shared_prefix,3,3,2816,2786,30,60,0.457528800000091,0.43576,3.289273,3.7456412,3.7470319999997628,68.84523590967505,18.241112853812986,4599,0.0063483,stop
shared_prefix,3,4,2816,2786,30,63,0.46371819999967556,0.41379,3.457364,3.8960428,3.9212861999999404,72.50054375407815,18.221974891854025,4599,0.0096406,stop
shared_prefix,3,5,2816,2786,30,80,0.4364709999999832,0.413121,4.399916,4.8361132,4.8363641000000825,72.61794970480803,18.18216529588292,4599,0.0072993,length
